name,club,season,position,overall,nationality
L. Messi,FC Barcelona,2017/18,RW,93,Argentina
Cristiano Ronaldo,Real Madrid CF,2017/18,ST,94,Portugal
L. Suárez,FC Barcelona,2017/18,ST,92,Uruguay
T. Kroos,Real Madrid CF,2017/18,CDM,90,Germany
Sergio Ramos,Real Madrid CF,2017/18,CB,90,Spain
J. Oblak,Atlético Madrid,2017/18,GK,88,Slovenia
L. Modrić,Real Madrid CF,2017/18,CDM,89,Croatia
A. Griezmann,Atlético Madrid,2017/18,LW,88,France
D. Godín,Atlético Madrid,2017/18,CB,88,Uruguay
G. Bale,Real Madrid CF,2017/18,RW,89,Wales
M. ter Stegen,FC Barcelona,2017/18,GK,85,Germany
Sergio Busquets,FC Barcelona,2017/18,CM,86,Spain
Jordi Alba,FC Barcelona,2017/18,LB,85,Spain
Marcelo,Real Madrid CF,2017/18,LB,87,Brazil
Piqué,FC Barcelona,2017/18,CB,87,Spain
Iniesta,FC Barcelona,2017/18,LW,87,Spain
Casemiro,Real Madrid CF,2017/18,CDM,85,Brazil
Isco,Real Madrid CF,2017/18,LW,86,Spain
I. Rakitić,FC Barcelona,2017/18,CM,87,Croatia
Filipe Luís,Atlético Madrid,2017/18,LB,85,Brazil
Y. Carrasco,Atlético Madrid,2017/18,RW,85,Belgium
R. Varane,Real Madrid CF,2017/18,CB,85,France
Koke,Atlético Madrid,2017/18,LW,84,Spain
K. Navas,Real Madrid CF,2017/18,GK,85,Costa Rica
K. Benzema,Real Madrid CF,2017/18,ST,86,France
Marco Asensio,Real Madrid CF,2017/18,LW,84,Spain
Saúl,Atlético Madrid,2017/18,RW,82,Spain
S. Umtiti,FC Barcelona,2017/18,CB,83,France
Carvajal,Real Madrid CF,2017/18,RB,84,Spain
Iago Aspas,RC Celta de Vigo,2017/18,RW,83,Spain
Parejo,Valencia CF,2017/18,CDM,83,Spain
Sergio Asenjo,Villarreal CF,2017/18,GK,84,Spain
Aduriz,Athletic Club de Bilbao,2017/18,ST,84,Spain
O. Dembélé,FC Barcelona,2017/18,CAM,83,France
J. Giménez,Atlético Madrid,2017/18,CB,83,Uruguay
A. Laporte,Athletic Club de Bilbao,2017/18,CB,84,France
Vitolo,UD Las Palmas,2017/18,RW,83,Spain
Paulinho,FC Barcelona,2017/18,CDM,81,Brazil
S. N'Zonzi,Sevilla FC,2017/18,CM,83,France
E. Banega,Sevilla FC,2017/18,CM,83,Argentina
E. Garay,Valencia CF,2017/18,CB,83,Argentina
G. Rulli,Real Sociedad,2017/18,GK,83,Argentina
André Gomes,FC Barcelona,2017/18,CAM,82,Portugal
Lucas Vázquez,Real Madrid CF,2017/18,RW,82,Spain
C. Bacca,Villarreal CF,2017/18,ST,82,Colombia
M. Kovačić,Real Madrid CF,2017/18,CDM,82,Croatia
Arrizabalaga,Athletic Club de Bilbao,2017/18,GK,80,Spain
Manu Trigueros,Villarreal CF,2017/18,CAM,82,Spain
S. Savić,Atlético Madrid,2017/18,CB,82,Montenegro
Iñigo Martínez,Real Sociedad,2017/18,CB,82,Spain
S. Zaza,Valencia CF,2017/18,ST,81,Italy
Sergi Roberto,FC Barcelona,2017/18,CM,81,Spain
Willian José,Real Sociedad,2017/18,ST,82,Brazil
Víctor Ruíz,Villarreal CF,2017/18,CB,82,Spain
Bruno,Villarreal CF,2017/18,CDM,84,Spain
Adán,Real Betis Balompié,2017/18,GK,81,Spain
K. Gameiro,Atlético Madrid,2017/18,ST,83,France
Juanfran,Atlético Madrid,2017/18,RB,83,Spain
Diego López,RCD Espanyol,2017/18,GK,83,Spain
Nélson Semedo,FC Barcelona,2017/18,RB,81,Portugal
Pau López,RCD Espanyol,2017/18,GK,78,Spain
Pau López,RCD Espanyol,2017/18,GK,78,Spain
Williams,Athletic Club de Bilbao,2017/18,LW,81,Spain
Dani García,SD Eibar,2017/18,CDM,81,Spain
F. Vázquez,Sevilla FC,2017/18,ST,82,Italy
Sergio Rico,Sevilla FC,2017/18,GK,82,Spain
Deulofeu,FC Barcelona,2017/18,RW,82,Spain
G. Kondogbia,Valencia CF,2017/18,CM,77,France
Rafinha,FC Barcelona,2017/18,RW,81,Brazil
Gabriel Paulista,Valencia CF,2017/18,CB,79,Brazil
Nacho Fernández,Real Madrid CF,2017/18,RB,81,Spain
J. Cillessen,FC Barcelona,2017/18,GK,81,Netherlands
W. Ben Yedder,Sevilla FC,2017/18,ST,81,France
Rodrigo,Valencia CF,2017/18,LW,78,Spain
Rodrigo,Valencia CF,2017/18,LW,78,Spain
Neto,Valencia CF,2017/18,GK,80,Brazil
Illarramendi,Real Sociedad,2017/18,CM,81,Spain
R. Boudebouz,Real Betis Balompié,2017/18,CAM,81,Algeria
Beñat,Athletic Club de Bilbao,2017/18,CM,82,Spain
D. Wass,RC Celta de Vigo,2017/18,CAM,80,Denmark
A. Guardado,Real Betis Balompié,2017/18,CDM,80,Mexico
Gabi,Atlético Madrid,2017/18,CM,81,Spain
A. Turan,FC Barcelona,2017/18,LW,82,Turkey
Gonçalo Guedes,Valencia CF,2017/18,LW,74,Portugal
C. Lenglet,Sevilla FC,2017/18,CB,79,France
A. Correa,Atlético Madrid,2017/18,RW,79,Argentina
Samu Castillejo,Villarreal CF,2017/18,LW,80,Spain
T. Partey,Atlético Madrid,2017/18,RW,77,Ghana
Gerard Moreno,RCD Espanyol,2017/18,CAM,79,Spain
Leo Baptistao,RCD Espanyol,2017/18,RW,80,Brazil
Denis Suárez,FC Barcelona,2017/18,RW,80,Spain
S. Vrsaljko,Atlético Madrid,2017/18,RB,79,Croatia
J. Murillo,Valencia CF,2017/18,CB,79,Colombia
P. Hernández,RC Celta de Vigo,2017/18,CAM,80,Chile
Lucas Pérez,RC Deportivo de La Coruña,2017/18,ST,81,Spain
